zcm	dzcm	ma	Wpx	dWpx
5.7	0.1	0.186	56.2	4.3
5.9	0.1	0.210	51.7	7.1
6.1	0.1	0.253	48.1	6.6
6.5	0.1	0.300	45.2	5.6
7.0	0.1	0.375	76.2	20.0
7.5	0.1	0.461	74.2	18.3
8.0	0.1	0.516	65.9	17.7
8.2	0.1	0.539	66.2	17.4
8.4	0.1	0.539	67.2	16.9
8.6	0.1	0.543	84.8	26.4
8.8	0.1	0.547	76.5	25.3
9.0	0.1	0.571	113.0	45.1
9.2	0.1	0.571	112.4	42.6
9.4	0.1	0.590	98.5	39.1
9.6	0.1	0.606	93.7	36.1
9.8	0.1	0.613	59.4	21.2
10.0	0.1	0.661	52.3	18.5
10.2	0.1	0.641	49.2	17.4
10.4	0.1	0.657	60.8	21.9
10.6	0.1	0.688	63.9	21.2
10.8	0.1	0.673	70.1	24.3
11.0	0.1	0.594	78.8	30.2
11.5	0.1	0.500	45.2	15.0
12.0	0.1	0.261	85.6	29.9
